@relation RhymeFeatures-weka.filters.unsupervised.attribute.Remove-R26

@attribute class {BDP,Rakim,Nas,2Pac,RunDMC,50Cent,LilWayne,KoolGRap,BigDaddyKane,PublicEnemy,BIG,IceCube,LLCoolJ,Scarface,Fabolous,JayZ,BeastieBoys,Eminem,SlickRick,Redman,Andre3k,Nelly,DMX,BoneThugs,MCHammer}
@attribute Syllables_per_Line numeric
@attribute Syllables_per_Word numeric
@attribute Syllable_Variation numeric
@attribute Novel_Word_Proportion numeric
@attribute Rhymes_per_Line numeric
@attribute Rhymes_per_Syllable numeric
@attribute Rhyme_Density numeric
@attribute End_Pairs_per_Line numeric
@attribute End_Pairs_Grown numeric
@attribute End_Pairs_Shrunk numeric
@attribute End_Pairs_Even numeric
@attribute Average_End_Score numeric
@attribute Average_End_Syl_Score numeric
@attribute Singles_per_Rhyme numeric
@attribute Doubles_per_Rhyme numeric
@attribute Triples_per_Rhyme numeric
@attribute Quads_per_Rhyme numeric
@attribute Longs_per_Rhyme numeric
@attribute Perfect_Rhymes numeric
@attribute Line_Internals_per_Line numeric
@attribute Links_per_Line numeric
@attribute Bridges_per_Line numeric
@attribute Compounds_per_Line numeric
@attribute Chaining_per_Line numeric

@data
Nas,12.105263,1.259124,2.503921,0.944782,1.894737,0.156522,0.22029,0.438596,0.24,0.28,0.48,4.609099,3.717015,0.675926,0.268519,0.037037,0.009259,0.009259,0.074074,0.666667,0.333333,0.45614,0.140351,0.175439
Nas,12.196721,1.1904,2.428112,0.914834,1.967213,0.16129,0.223118,0.42623,0.346154,0.115385,0.538462,5.521125,3.879709,0.725,0.191667,0.058333,0.025,0,0.125,0.721311,0.278689,0.540984,0.131148,0.114754
Nas,13.104167,1.361472,2.417295,0.945883,2.416667,0.18442,0.278219,0.333333,0.4375,0.125,0.4375,5.94171,3.96114,0.62069,0.293103,0.043103,0.043103,0,0.043103,1.041667,0.395833,0.645833,0.229167,0.208333
Nas,13.0625,1.27439,2.375274,0.900526,1.875,0.143541,0.207337,0.395833,0.105263,0.157895,0.736842,5.480827,4.00522,0.633333,0.3,0.055556,0.011111,0,0.088889,0.708333,0.25,0.520833,0.0625,0.104167
Nas,12.517857,1.281536,2.121245,0.913384,1.928571,0.154066,0.259629,0.410714,0.347826,0.173913,0.478261,6.26144,3.600328,0.546296,0.277778,0.12963,0.037037,0.009259,0.092593,0.732143,0.321429,0.464286,0.053571,0.107143
Nas,11.36,1.224138,2.372846,0.906193,1.78,0.15669,0.237676,0.4,0.2,0.3,0.5,6.250959,3.906849,0.617978,0.269663,0.089888,0.022472,0,0.101124,0.92,0.24,0.22,0.16,0.18
Nas,12.311475,1.315236,2.191945,0.926454,2.459016,0.199734,0.291611,0.42623,0.307692,0.269231,0.423077,5.959365,3.779109,0.613333,0.326667,0.046667,0.013333,0,0.086667,1.098361,0.360656,0.57377,0.229508,0.098361
Nas,12.6,1.274874,1.781385,0.935058,2.166667,0.171958,0.265873,0.416667,0.32,0.16,0.52,4.382924,3.534616,0.661538,0.215385,0.061538,0.038462,0.023077,0.084615,0.783333,0.25,0.716667,0.15,0.133333
Nas,12.25,1.245763,1.493039,0.916651,1.875,0.153061,0.246599,0.4375,0.190476,0.190476,0.619048,5.084858,3.444581,0.566667,0.333333,0.044444,0.033333,0.022222,0.055556,0.604167,0.25,0.583333,0.0625,0.0625
Nas,12.432836,1.232249,1.948776,0.906553,2.552239,0.205282,0.320528,0.283582,0.368421,0.157895,0.473684,4.723595,3.589932,0.631579,0.239766,0.076023,0.040936,0.011696,0.076023,1.134328,0.41791,0.716418,0.253731,0.208955
